_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
714422_CLEARTRIP,CLEARTRIP,24.580296,73.68257,Udaipur,313001,NA
714491_CLEARTRIP,CLEARTRIP,22.719975,75.8767,Indore,452001,NA
714557_CLEARTRIP,CLEARTRIP,10.042347,77.03773,Munnar,685565,NA
714395_CLEARTRIP,CLEARTRIP,27.35822,88.61732,Gangtok,737101,NA
714583_CLEARTRIP,CLEARTRIP,9.996576,77.08871,Munnar,685612,NA
714706_CLEARTRIP,CLEARTRIP,26.873648,80.93884,Lucknow,226020,NA
714717_CLEARTRIP,CLEARTRIP,8.191814,77.42902,Kanyakumari,629001,NA
714760_CLEARTRIP,CLEARTRIP,10.823701,78.69456,Trichy,620008,NA
714768_CLEARTRIP,CLEARTRIP,19.884525,75.31952,Aurangabad,NA,NA
714797_CLEARTRIP,CLEARTRIP,9.989247,76.401024,Kochi,682303,NA
714590_CLEARTRIP,CLEARTRIP,13.631309,79.427956,Tirupati,517501,NA
714825_CLEARTRIP,CLEARTRIP,10.83559,78.696846,Trichy,620002,NA
714542_CLEARTRIP,CLEARTRIP,11.842644,75.95715,Wayanad,670644,NA
714840_CLEARTRIP,CLEARTRIP,30.70972,76.75892,Chandigarh,160047,NA
714862_CLEARTRIP,CLEARTRIP,10.378953,78.81169,Pudukkottai,622001,NA
714887_CLEARTRIP,CLEARTRIP,11.747683,75.49006,Thalassery,670101,NA
714874_CLEARTRIP,CLEARTRIP,10.012027,76.29344,Kochi,682026,NA
714892_CLEARTRIP,CLEARTRIP,9.916718,78.1059,Madurai,625016,NA
714941_CLEARTRIP,CLEARTRIP,13.583412,75.28698,Shimoga,577205,NA
714916_CLEARTRIP,CLEARTRIP,29.430925,79.21123,Corbett,244715,NA
715012_CLEARTRIP,CLEARTRIP,9.293757,79.31892,Rameswaram,623526,NA
715020_CLEARTRIP,CLEARTRIP,11.338597,77.7144,Erode,638001,NA
715025_CLEARTRIP,CLEARTRIP,16.824343,75.71535,Bijapur,586101,NA
714870_CLEARTRIP,CLEARTRIP,10.155537,76.35397,Kochi,683585,NA
715057_CLEARTRIP,CLEARTRIP,17.92424,73.65726,Mahabaleshwar,412806,NA
715073_CLEARTRIP,CLEARTRIP,8.735495,76.70417,Varkala,695141,NA
715064_CLEARTRIP,CLEARTRIP,28.645767,77.21649,New Delhi,110055,NA
715093_CLEARTRIP,CLEARTRIP,22.62699,75.80497,Indore,453331,NA
715100_CLEARTRIP,CLEARTRIP,11.776553,78.22212,Yercaud,636601,NA
715035_CLEARTRIP,CLEARTRIP,26.912172,70.91263,Jaisalmer,345001,NA
715052_CLEARTRIP,CLEARTRIP,30.460163,78.07299,Mussoorie,248183,NA
715132_CLEARTRIP,CLEARTRIP,19.796118,85.82366,Puri,752001,NA
715152_CLEARTRIP,CLEARTRIP,19.790306,85.80543,Puri,752001,NA
715082_CLEARTRIP,CLEARTRIP,23.199993,75.79537,Ujjain,456010,NA
715118_CLEARTRIP,CLEARTRIP,26.279797,73.03056,Jodhpur,342011,NA
715258_CLEARTRIP,CLEARTRIP,12.926247,77.6765,Bangalore,560103,NA
715290_CLEARTRIP,CLEARTRIP,26.83801,80.9285,Lucknow,226004,NA
715307_CLEARTRIP,CLEARTRIP,29.854868,79.60334,Kausani,263639,NA
715191_CLEARTRIP,CLEARTRIP,25.29461,83.00511,Varanasi,220101,NA
715321_CLEARTRIP,CLEARTRIP,23.74004,81.0376,Bandhavgarh,484661,NA
715358_CLEARTRIP,CLEARTRIP,25.134384,73.57495,Kumbhalgarh,313324,NA
715338_CLEARTRIP,CLEARTRIP,24.58093,73.68275,Udaipur,313001,NA
715164_CLEARTRIP,CLEARTRIP,12.425922,75.02263,Bekal,671319,NA
715202_CLEARTRIP,CLEARTRIP,12.423742,75.73573,Coorg,571201,NA
715375_CLEARTRIP,CLEARTRIP,30.97961,77.11162,Shimla,173215,NA
715438_CLEARTRIP,CLEARTRIP,14.087935,74.48852,Murdeshwar,581350,NA
715459_CLEARTRIP,CLEARTRIP,32.23963,77.18871,Manali,175131,NA
715419_CLEARTRIP,CLEARTRIP,15.348318,75.112946,Hubli-Dharwad,580030,NA
715388_CLEARTRIP,CLEARTRIP,26.837715,80.92779,Lucknow,226001,NA
715578_CLEARTRIP,CLEARTRIP,12.991559,75.33057,Ujire,574240,NA
715484_CLEARTRIP,CLEARTRIP,28.467375,77.03703,Gurgaon,122001, Treebo Hotels
715526_CLEARTRIP,CLEARTRIP,24.580067,73.68312,Udaipur,313001,NA
715589_CLEARTRIP,CLEARTRIP,24.588333,73.68121,Udaipur,313001,NA
715621_CLEARTRIP,CLEARTRIP,32.24793,77.186615,Manali,175131,NA
715689_CLEARTRIP,CLEARTRIP,12.937063,77.58073,Bangalore,560011,NA
715699_CLEARTRIP,CLEARTRIP,30.337355,78.05196,Dehradun,248001,NA
715717_CLEARTRIP,CLEARTRIP,25.312277,83.01536,Varanasi,221001,NA
715744_CLEARTRIP,CLEARTRIP,12.943572,77.58348,Bangalore,560011,NA
715611_CLEARTRIP,CLEARTRIP,32.24581,77.18973,Manali,175131,NA
715732_CLEARTRIP,CLEARTRIP,13.19001,77.62954,Bangalore,562157,NA
715817_CLEARTRIP,CLEARTRIP,12.923021,77.58943,Bangalore,560041,NA
715903_CLEARTRIP,CLEARTRIP,32.233643,77.1959,Manali,175131,NA
715886_CLEARTRIP,CLEARTRIP,15.586296,73.758194,Goa,403505,NA
715944_CLEARTRIP,CLEARTRIP,32.244247,77.18951,Manali,175131,NA
715937_CLEARTRIP,CLEARTRIP,10.07796,77.06299,Munnar,686866,NA
715953_CLEARTRIP,CLEARTRIP,19.044691,72.864174,Mumbai,400022,NA
715839_CLEARTRIP,CLEARTRIP,11.106034,77.16525,Coimbatore,641659,NA
716019_CLEARTRIP,CLEARTRIP,24.5791,73.6802,Udaipur,313001,NA
715977_CLEARTRIP,CLEARTRIP,28.491707,77.08621,Gurgaon,122002,NA
715364_CLEARTRIP,CLEARTRIP,26.859716,81.02187,Lucknow,226010,NA
716031_CLEARTRIP,CLEARTRIP,18.441261,73.86009,Pune,411046,NA
716160_CLEARTRIP,CLEARTRIP,12.921307,77.66378,Bangalore,560034,NA
716145_CLEARTRIP,CLEARTRIP,31.631641,74.88277,Amritsar,143006,NA
716117_CLEARTRIP,CLEARTRIP,10.597502,76.043495,Guruvayoor,680101,NA
716217_CLEARTRIP,CLEARTRIP,28.540224,77.24786,New Delhi,110019,NA
716240_CLEARTRIP,CLEARTRIP,20.71794,70.980736,Diu,362520,NA
716321_CLEARTRIP,CLEARTRIP,17.929417,73.696434,Mahabaleshwar,412806,NA
716065_CLEARTRIP,CLEARTRIP,12.780544,77.64244,Bangalore,560105,NA
716255_CLEARTRIP,CLEARTRIP,12.955507,77.57933,Bangalore,560004,NA
716377_CLEARTRIP,CLEARTRIP,30.455835,78.0811,Mussoorie,248179,NA
