_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00015404_TRAVELGURU,TRAVELGURU,16.515898,80.62684,VIJAYAWADA,520003,--None--
00015410_TRAVELGURU,TRAVELGURU,16.516237,80.62353,VIJAYAWADA,520003,--None--
00015415_TRAVELGURU,TRAVELGURU,15.87872,74.51694,BELGAUM,590010,--None--
00015422_TRAVELGURU,TRAVELGURU,16.829039,75.72844,BIJAPUR,586101,--None--
00015333_TRAVELGURU,TRAVELGURU,9.963601,76.24039,Cochin,682001,UP Tourism
00015429_TRAVELGURU,TRAVELGURU,15.417903,75.04242,DHARWAD,580002,--None--
00015370_TRAVELGURU,TRAVELGURU,26.908022,75.77992,JAIPUR,302006,Accor Hotels
00015452_TRAVELGURU,TRAVELGURU,13.007526,80.2082,CHENNAI,600004,--None--
00015458_TRAVELGURU,TRAVELGURU,19.528429,73.3394,SHAHAPUR,421601,--None--
00015462_TRAVELGURU,TRAVELGURU,23.232948,77.42947,BHOPAL,462011,Marriott Hotels
00015466_TRAVELGURU,TRAVELGURU,12.979324,77.72797,BANGALORE,560066,Marriott Hotels
00015470_TRAVELGURU,TRAVELGURU,24.576097,73.69609,UDAIPUR,313001,--None--
00015447_TRAVELGURU,TRAVELGURU,8.48237,76.9384,THIRUVANANTHAPURAM,695008,--None--
00015476_TRAVELGURU,TRAVELGURU,26.500534,74.53507,PUSHKAR,123456,--None--
00015438_TRAVELGURU,TRAVELGURU,8.386165,76.97844,KOVALAM,695527,--None--
00015480_TRAVELGURU,TRAVELGURU,30.64507,76.82335,Zirakpur,140603,--None--
00015497_TRAVELGURU,TRAVELGURU,30.288181,77.99711,DEHRADUN,248001,--None--
00015511_TRAVELGURU,TRAVELGURU,30.327631,78.045364,DEHRADUN,248009,--None--
00015502_TRAVELGURU,TRAVELGURU,30.317802,78.03431,DEHRADUN,248001,--None--
00015507_TRAVELGURU,TRAVELGURU,30.89394,75.84605,LUDHIANA,141008,--None--
00015526_TRAVELGURU,TRAVELGURU,28.994862,77.02455,SONEPAT,131001,--None--
00015531_TRAVELGURU,TRAVELGURU,28.995512,77.02625,SONEPAT,131001,--None--
00015522_TRAVELGURU,TRAVELGURU,28.625418,77.37535,NOIDA,201301,Ginger Hotels
00015518_TRAVELGURU,TRAVELGURU,30.124683,78.33109,RISHIKESH,249302,--None--
00015535_TRAVELGURU,TRAVELGURU,29.947538,78.15784,HARIDWAR,249401,--None--
