1282194_CLEARTRIP,CLEARTRIP,18.752924,73.40552,Lonavala,410401,Vista Rooms,cluster8,Vista Rooms at The Metropole
1292376_CLEARTRIP,CLEARTRIP,32.23599,77.19474,Manali,175131,OYO,cluster12,OYO Premium River Side
1302414_CLEARTRIP,CLEARTRIP,28.647774,77.18863,New Delhi,110005,NA,cluster3,Hotel Delhi Heights
123303_CLEARTRIP,CLEARTRIP,28.65269,77.19468,New Delhi,110005,NA,cluster3,Swagat Palace
123148_CLEARTRIP,CLEARTRIP,8.838432,76.67942,Kollam,691334,NA,cluster11,Fragrant Nature Backwater Resort & Ayurveda Spa
123173_CLEARTRIP,CLEARTRIP,32.221375,77.1997,Manali,175131,Club Mahindra,cluster12,Club Mahindra Manali
1306520_CLEARTRIP,CLEARTRIP,31.634537,74.86729,Amritsar,143001,OYO,cluster12,OYO Rooms Amritsar Railway Station 1
1315038_CLEARTRIP,CLEARTRIP,23.140182,75.79082,Ujjain,456664,Vista Rooms,cluster14,Vista Rooms at Hotel Anjushree
1315512_CLEARTRIP,CLEARTRIP,30.979599,77.112,Shimla,173215,OYO,cluster3,OYO Rooms Kandaghat
1316534_CLEARTRIP,CLEARTRIP,20.371237,72.92303,Vapi,396195,Vista Rooms,cluster1,Vista Apartment at Gunjan Road
1323064_CLEARTRIP,CLEARTRIP,19.72504,73.63134,Nashik,416712,NA,cluster1,Bramhagiri Resort
1323068_CLEARTRIP,CLEARTRIP,19.058033,72.84574,Mumbai,400051,Vista Rooms,cluster8,Vista Apartment at Bandra
1323074_CLEARTRIP,CLEARTRIP,19.865814,75.31197,Aurangabad,431001,Vista Rooms,cluster1,Vista Rooms at R.T.O
1323088_CLEARTRIP,CLEARTRIP,19.876202,75.349976,Aurangabad,431001,Vista Rooms,cluster1,Vista Rooms At Ciigma Hospital
1313554_CLEARTRIP,CLEARTRIP,23.02513,72.55424,Ahmedabad,380006,Vista Rooms,cluster14,Vista Premier at Panchvati Cross Road
1323138_CLEARTRIP,CLEARTRIP,18.7539,74.2473,Pune,412209,NA,cluster8,Hotel Rajyog
