1930_GOOMO,GOOMO,18.57027,73.783493,41105,cluster6,GMA Guest House Hinjewadi
1949_GOOMO,GOOMO,25.622321,74.920259,311404,cluster1,Shahpura Bagh
2165_GOOMO,GOOMO,12.311716,76.659161,570001,cluster13,Hotel Shastri Paradise
1316_GOOMO,GOOMO,24.581386,72.722917,307501,cluster3,Budget Rooms by Ashoka
1749_GOOMO,GOOMO,43.085476,-79.06443,173217,cluster7,Hotel Comfort Inn
1754_GOOMO,GOOMO,30.312096,78.077017,248001,cluster0,Hotel Pearl Avenue
1262_GOOMO,GOOMO,34.184764,-92.226154,190008,cluster7,Hotel Pine Spring
2511_GOOMO,GOOMO,11.58284,76.089029,673123,cluster13, Planet Green Plantation
2473_GOOMO,GOOMO,12.398592,75.770889,571201,cluster13,Capitol Village
1792_GOOMO,GOOMO,28.550725,77.129839,110037,cluster14,Lohmod Hotel
2472_GOOMO,GOOMO,12.423252,75.735526,571201,cluster13,Green Haven
1263_GOOMO,GOOMO,34.063769,74.809183,190001,cluster7,Hotel Pine Spring 
2534_GOOMO,GOOMO,10.242518,77.48603,624101,cluster13,Hotel Jai
2036_GOOMO,GOOMO,19.097614,72.892838,400084,cluster6,Atlas Grand Hotel
2523_GOOMO,GOOMO,12.445765,75.920076,571234,cluster13, Palm Era
2480_GOOMO,GOOMO,12.450859,75.968291,571234,cluster13,Hotel Maharaja
2028_GOOMO,GOOMO,19.770456,74.47409,423109,cluster5,Hotel Kala Sai
2124_GOOMO,GOOMO,19.115926,72.893445,400072,cluster6,Signature Crest Powai
1149_GOOMO,GOOMO,30.924574,76.973949,173201,cluster0,ADB Rooms Hotel Bliss
3340_GOOMO,GOOMO,19.80715,85.847677,752002,cluster5,Hotel Sea Palace
2520_GOOMO,GOOMO,28.039024,73.424787,334001,cluster14,Vesta Palace 
2438_GOOMO,GOOMO,19.096571,72.894577,400072,cluster6,Hotel Adnoc inn
2484_GOOMO,GOOMO,9.608341,77.164574,685509,cluster13,Stay Melody
2462_GOOMO,GOOMO,12.925004,77.671374,560078,cluster13,Ajantha Komforts
2487_GOOMO,GOOMO,9.500334,76.339351,688011,cluster13,Marvel Cruise
2508_GOOMO,GOOMO,9.58805,76.530525,686002,cluster13,Fenn Hall
2522_GOOMO,GOOMO,28.040169,73.3312,334001,cluster14,Laxmi Niwas Palace
2521_GOOMO,GOOMO,9.743329,76.514068,686603,cluster13,Varsha International Residency
2498_GOOMO,GOOMO,9.501228,76.344321,688013,cluster13,Sisir Palace
2486_GOOMO,GOOMO,9.963777,76.239802,682001,cluster13,Chiramel Residency
3472_GOOMO,GOOMO,12.934248,77.61609,560029,cluster13,Treebo Terminus
3474_GOOMO,GOOMO,19.182574,72.843427,400064,cluster6,Treebo Olive Nest
2177_GOOMO,GOOMO,15.356028,76.445403,583234,cluster4,Kishkinda Heritage Resort
4394_GOOMO,GOOMO,15.277895,76.388766,583201,cluster4,Iroomz Amrutha Residency
773_GOOMO,GOOMO,26.9831,75.8993,302028,cluster2,Hotel Talai Bagh Palace
1172_GOOMO,GOOMO,33.611237,75.435124,192202,cluster7,ADB Rooms Hotel Paradise Retreat 
3471_GOOMO,GOOMO,17.448846,78.355828,500032,cluster6,Treebo Pratz Inn
2524_GOOMO,GOOMO,27.945103,73.052706,334301,cluster12,Gazner palace
2998_GOOMO,GOOMO,44.197811,-69.078346,570016,cluster7,Country Inn & Suites By Carlson
3546_GOOMO,GOOMO,31.6228,74.88,143001,cluster10,Hotel MM Paradise
1243_GOOMO,GOOMO,12.990265,80.258568,600041,cluster13,Keys Hotel Katti Ma
725_GOOMO,GOOMO,19.7721,74.4727,423109,cluster5,Hotel Sai International
3475_GOOMO,GOOMO,30.110129,78.295469,249201,cluster8,Treebo MJ Inn
2536_GOOMO,GOOMO,10.235982,77.490621,624101,cluster13, Hilltop Towers
1135_GOOMO,GOOMO,19.118454,72.8991,400072,cluster6,Hotel The Caliph 
1720_GOOMO,GOOMO,30.660987,76.829043,140507,cluster0,Hotel Silver Sands
1512_GOOMO,GOOMO,13.070565,80.253285,600008,cluster13,Treebo Nestlay Casa
1456_GOOMO,GOOMO,26.88985,75.808937,302015,cluster2,Treebo Woodsvilla Suites
3473_GOOMO,GOOMO,17.402607,78.460712,500004,cluster6,Treebo Wood Bridge
1273_GOOMO,GOOMO,13.024542,77.637178,560084,cluster13,Nandhana Vista
1801_GOOMO,GOOMO,18.546164,73.90431,411013,cluster6,Valencia Hospitality Service Apartment
1241_GOOMO,GOOMO,12.979409,77.710037,560048,cluster13,Keys Hotel Whitefield
3477_GOOMO,GOOMO,31.624079,74.883834,143001,cluster10,Treebo Dee Intercontinental
1611_GOOMO,GOOMO,31.663372,74.913989,143001,cluster10,Hotel Sham Villa
2029_GOOMO,GOOMO,12.308724,76.657598,570001,cluster13,Hotel Maurya Residency
747_GOOMO,GOOMO,18.7552,73.4041,410401,cluster6,Hotel Highland Resort
1750_GOOMO,GOOMO,30.998519,77.221334,173217,cluster0,Hotel Jungle Livinn
1314_GOOMO,GOOMO,26.910439,75.735142,302021,cluster2,Raghus Home Stay
1809_GOOMO,GOOMO,19.08145,73.005526,400705,cluster6,"Hotel New Kuber""s Residency"
2721_GOOMO,GOOMO,21.152316,79.002004,440025,cluster5,The Travotel  Hotel
2011_GOOMO,GOOMO,21.20529,72.836743,395003,cluster5,Hotel Suncity
1951_GOOMO,GOOMO,32.19928,76.335621,176057,cluster10,Dhauladhar Heights
3547_GOOMO,GOOMO,21.101137,79.065878,440025,cluster5,Treebo Flora Inn
